,solar_result,temp,rain_r,hum,wind,wins,sky
2017060100,0.0,,,,,,
2017060101,0.0,,,,,,
2017060102,0.0,,,,,,
2017060103,0.0,,,,,,
2017060104,0.0,,,,,,
2017060105,0.0,,,,,,
2017060106,5.28,18.0,0.0,80.0,2.1,2.1,1.0
2017060107,23.28,19.0,0.0,75.0,2.2,2.2,1.0
2017060108,31.44,20.0,0.0,70.0,2.3,2.3,1.0
2017060109,33.12,21.0,0.0,65.0,2.4,2.4,1.0
2017060110,50.16,21.333333333333332,0.0,65.0,2.3333333333333335,2.3333333333333335,1.0
2017060111,96.72,21.666666666666668,0.0,65.0,2.2666666666666666,2.2666666666666666,1.0
2017060112,120.96,22.0,0.0,65.0,2.2,2.2,1.0
2017060113,118.8,21.333333333333332,0.0,63.333333333333336,2.4333333333333336,2.4333333333333336,1.0
2017060114,107.76,20.666666666666668,0.0,61.666666666666664,2.6666666666666665,2.6666666666666665,1.0
2017060115,90.96,20.0,0.0,60.0,2.9,2.9,1.0
2017060116,62.64,19.666666666666668,0.0,61.666666666666664,2.2666666666666666,2.2666666666666666,1.0
2017060117,32.88,19.333333333333332,0.0,63.333333333333336,1.6333333333333333,1.6333333333333333,1.0
2017060118,10.08,19.0,0.0,65.0,1.0,1.0,1.0
2017060119,1.44,18.333333333333332,0.0,66.66666666666667,1.3,1.3,1.0
2017060120,0.0,17.666666666666668,0.0,68.33333333333333,1.6,1.6,1.0
2017060121,0.0,17.0,0.0,70.0,1.9,1.9,1.0
2017060122,0.0,17.0,0.03333333333333333,71.66666666666667,1.9333333333333333,1.9333333333333333,1.3333333333333333
2017060123,0.0,17.0,0.06666666666666667,73.33333333333333,1.9666666666666666,1.9666666666666666,1.6666666666666665
2017060200,0.0,17.0,0.1,75.0,2.0,2.0,2.0
2017060201,0.0,17.166666666666668,0.11666666666666667,75.83333333333333,2.0,2.0,2.1666666666666665
2017060202,0.0,17.333333333333332,0.13333333333333333,76.66666666666667,2.0,2.0,2.3333333333333335
2017060203,0.0,17.5,0.15000000000000002,77.5,2.0,2.0,2.5
2017060204,0.0,17.666666666666668,0.16666666666666669,78.33333333333333,2.0,2.0,2.6666666666666665
2017060205,0.0,17.833333333333332,0.18333333333333335,79.16666666666667,2.0,2.0,2.833333333333333
2017060206,5.04,18.0,0.2,80.0,2.0,2.0,3.0
2017060207,31.68,19.0,0.2,73.33333333333333,2.2333333333333334,2.2333333333333334,3.0
2017060208,60.48,20.0,0.2,66.66666666666667,2.466666666666667,2.466666666666667,3.0
2017060209,85.68,21.0,0.2,60.0,2.7,2.7,3.0
2017060210,122.16,21.666666666666668,0.2,61.666666666666664,2.9333333333333336,2.9333333333333336,3.0
2017060211,133.44,22.333333333333332,0.2,63.333333333333336,3.1666666666666665,3.1666666666666665,3.0
2017060212,135.6,23.0,0.2,65.0,3.4,3.4,3.0
2017060213,127.2,23.0,0.16666666666666669,61.666666666666664,3.9,3.9,2.6666666666666665
2017060214,114.96,23.0,0.13333333333333336,58.333333333333336,4.4,4.4,2.3333333333333335
2017060215,95.52,23.0,0.1,55.0,4.9,4.9,2.0
2017060216,65.76,22.666666666666668,0.1,56.666666666666664,4.866666666666667,4.866666666666667,2.0
2017060217,32.16,22.333333333333332,0.1,58.333333333333336,4.833333333333333,4.833333333333333,2.0
2017060218,8.64,22.0,0.1,60.0,4.8,4.8,2.0
2017060219,0.96,21.333333333333332,0.1,61.666666666666664,3.9,3.9,2.0
2017060220,0.0,20.666666666666668,0.1,63.333333333333336,3.0,3.0,2.0
2017060221,0.0,20.0,0.1,65.0,2.1,2.1,2.0
